                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.7425,                 3.0638,                 1.3817,                0.41471,                0.61598,                0.44896,                0.34717,                0.85157,                 2.1362,                 1.4442,             0.00017474,             0.00017474,             0.00017474
                      2,                0.68007,                 2.0736,                 1.3272,                0.51911,                0.61663,                0.57691,                0.43031,                0.93565,                 1.6845,                 1.4899,             0.00034661,             0.00034661,             0.00034661
                      3,                0.68751,                 1.7785,                 1.3242,                0.57059,                0.65653,                0.61113,                0.47323,                0.88017,                  1.607,                 1.4753,               0.000515,               0.000515,               0.000515
                      4,                0.67286,                 1.6048,                 1.3139,                0.66307,                0.69397,                0.71797,                0.53141,                0.99078,                 1.4218,                 1.5107,             0.00051038,             0.00051038,             0.00051038
                      5,                0.65586,                 1.4471,                 1.2985,                0.68051,                0.66907,                0.73144,                0.56975,                0.84189,                 1.3517,                 1.4361,             0.00050517,             0.00050517,             0.00050517
                      6,                0.64573,                 1.3411,                 1.2922,                0.71861,                0.71065,                0.75776,                0.59328,                0.84666,                 1.2159,                 1.3872,             0.00049996,             0.00049996,             0.00049996
                      7,                0.64054,                 1.2763,                 1.2888,                 0.7085,                0.71434,                0.77145,                0.62128,                0.77307,                 1.2153,                 1.3357,             0.00049476,             0.00049476,             0.00049476
                      8,                0.63116,                 1.2151,                 1.2803,                 0.7799,                0.75858,                0.81355,                0.65325,                0.80983,                 1.0861,                 1.3652,             0.00048955,             0.00048955,             0.00048955
                      9,                0.60598,                 1.1641,                 1.2647,                0.79494,                0.77362,                 0.8223,                0.67198,                0.76217,                 1.0864,                 1.2961,             0.00048434,             0.00048434,             0.00048434
                     10,                0.61929,                 1.1144,                  1.273,                 0.8528,                0.79013,                0.85086,                0.70313,                0.76903,                0.91706,                 1.2927,             0.00047913,             0.00047913,             0.00047913
                     11,                0.60218,                 1.0523,                 1.2572,                0.82747,                0.81197,                0.84513,                0.69788,                0.74864,                0.85802,                 1.2929,             0.00047393,             0.00047393,             0.00047393
                     12,                0.60666,                 1.0499,                 1.2602,                0.85199,                0.83475,                0.86196,                0.70226,                0.75174,                0.78983,                 1.2609,             0.00046872,             0.00046872,             0.00046872
                     13,                0.59521,                 1.0196,                 1.2553,                0.85414,                0.83759,                0.87064,                0.70126,                 0.8065,                0.82318,                 1.3258,             0.00046351,             0.00046351,             0.00046351
                     14,                0.59629,                 1.0042,                 1.2534,                0.83787,                0.80281,                0.86323,                0.70662,                 0.7345,                0.82903,                 1.2869,              0.0004583,              0.0004583,              0.0004583
                     15,                0.59555,                0.97464,                 1.2514,                0.86131,                0.80536,                0.86719,                 0.7182,                0.72487,                 0.8474,                 1.2518,              0.0004531,              0.0004531,              0.0004531
